element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Xe	11	"11.0889"	"107"	""		"42900."	"944705"	"4p6.4d8"	"1D"	"2"	"4p5.4d9"	"944705*"	"2"		""	"L12003"	
Xe	11	"11.0998"	"140"	""		"88130."	"989020"	"4p6.4d8"	"1S"	"0"	"4p6.4d7.4f"	"989020*"	"1"		""	"L12003"	
Xe	11	"11.1174"	"176"	""		"13140."	"912600"	"4p6.4d8"	"3F"	"2"	"4p6.4d7.4f"	"912600*"	"3"		""	"L12003"	
Xe	11	"11.1268"	"148"	""		"34610."	"933343"	"4p6.4d8"	"3P"	"1"	"4p6.4d7.4f"	"933343*"	"0"		""	"L12003"	
Xe	11	"11.1290"	"164"	""		"13140."	"911665"	"4p6.4d8"	"3F"	"2"	"4p6.4d7.4f"	"911665*"	"2"		""	"L12003"	
Xe	11	"11.1384"	"635*"	""		"26670."	"924500"	"4p6.4d8"	"3P"	"2"	"4p6.4d7.4f"	"924500*"	"2"		""	"L12003"	
Xe	11	"11.1384"	"635*"	""		"40835."	"938628"	"4p6.4d8"	"1G"	"4"	"4p6.4d7.4f"	"938628*"	"5"		""	"L12003"	
Xe	11	"11.1435"	"559*"	""		"15205."	"912600"	"4p6.4d8"	"3F"	"3"	"4p6.4d7.4f"	"912600*"	"3"		""	"L12003"	
Xe	11	"11.1435"	"559*"	""		"0"	"897383"	"4p6.4d8"	"3F"	"4"	"4p6.4d7.4f"	"897383*"	"5"		""	"L12003"	
Xe	11	"11.1504"	"148"	""		"34610."	"931420"	"4p6.4d8"	"3P"	"1"	"4p6.4d7.4f"	"931420*"	"1"		""	"L12003"	
Xe	11	"11.1552"	"169"	""		"15205."	"911665"	"4p6.4d8"	"3F"	"3"	"4p6.4d7.4f"	"911665*"	"2"		""	"L12003"	
Xe	11	"11.1622"	"577"	""		"15205."	"911082"	"4p6.4d8"	"3F"	"3"	"4p6.4d7.4f"	"911082*"	"4"		""	"L12003"	
Xe	11	"11.1654"	"447"	""		"26670."	"922295"	"4p6.4d8"	"3P"	"2"	"4p6.4d7.4f"	"922295*"	"3"		""	"L12003"	
Xe	11	"11.1706"	"534"	""		"13140."	"908390"	"4p6.4d8"	"3F"	"2"	"4p6.4d7.4f"	"908390*"	"3"		""	"L12003"	
Xe	11	"11.1739"	"467"	""		"0"	"894941"	"4p6.4d8"	"3F"	"4"	"4p6.4d7.4f"	"894941*"	"3"		""	"L12003"	
Xe	11	"11.1785"	"387"	""		"13140."	"907711"	"4p6.4d8"	"3F"	"2"	"4p6.4d7.4f"	"907711*"	"2"		""	"L12003"	
Xe	11	"11.1834"	"85"	""		"40835."	"935035"	"4p6.4d8"	"1G"	"4"	"4p6.4d7.4f"	"935035*"	"3"		""	"L12003"	
Xe	11	"11.1954"	"161"	""		"15205."	"908390"	"4p6.4d8"	"3F"	"3"	"4p6.4d7.4f"	"908390*"	"3"		""	"L12003"	
Xe	11	"11.2006"	"192"	""		"32210."	"925010"	"4p6.4d8"	"3P"	"0"	"4p6.4d7.4f"	"925010*"	"1"		""	"L12003"	
Xe	11	"11.2045"	"200m"	""		"15205."	"907711"	"4p6.4d8"	"3F"	"3"	"4p6.4d7.4f"	"907711*"	"2"		""	"L12003"	
Xe	11	"11.2055"	"626"	""		"0"	"892420"	"4p6.4d8"	"3F"	"4"	"4p6.4d7.4f"	"892420*"	"4"		""	"L12003"	
Xe	11	"11.2089"	"388"	""		"42900."	"935035"	"4p6.4d8"	"1D"	"2"	"4p6.4d7.4f"	"935035*"	"3"		""	"L12003"	
Xe	11	"11.2373"	"56"	""		"34610."	"924500"	"4p6.4d8"	"3P"	"1"	"4p6.4d7.4f"	"924500*"	"2"		""	"L12003"	
Xe	11	"11.2431"	"139"	""		"13140."	"902577"	"4p6.4d8"	"3F"	"2"	"4p6.4d7.4f"	"902577*"	"1"		""	"L12003"	
Xe	11	"11.2713"	"143bl"	""		"26670."	"913877"	"4p6.4d8"	"3P"	"2"	"4p6.4d7.4f"	"913877*"	"1"		""	"L12003"	
Xe	10	"11.2714"	"3"	""		"0"	"887203."	"4d9"	"2D"	"5/2"	"4d8.4f"	"887203*"	"5/2"		""	"L11883"	
Xe	11	"11.2877"	"52"	""		"26670."	"912600"	"4p6.4d8"	"3P"	"2"	"4p6.4d7.4f"	"912600*"	"3"		""	"L12003"	
Xe	11	"11.3021"	"420"	""		"40835."	"925626"	"4p6.4d8"	"1G"	"4"	"4p6.4d7.4f"	"925626*"	"4"		""	"L12003"	
Xe	11	"11.3366"	"35"	""		"42900."	"925010"	"4p6.4d8"	"1D"	"2"	"4p6.4d7.4f"	"925010*"	"1"		""	"L12003"	
Xe	7	"11.343"	"50a"	""		"0"	"881730"	"5s2"	"1S"	"0"	"4d9.5s2.5f"	"3P*"	"1"		""	"L5852"	
Xe	10	"11.3438"	"15"	""		"0"	"881539."	"4d9"	"2D"	"5/2"	"4d8.4f"	"881539*"	"3/2"		""	"L11883"	
Xe	11	"11.3731"	"74"	""		"34610."	"913877"	"4p6.4d8"	"3P"	"1"	"4p6.4d7.4f"	"913877*"	"1"		""	"L12003"	
Xe	11	"11.4020"	"131"	""		"34610."	"911665"	"4p6.4d8"	"3P"	"1"	"4p6.4d7.4f"	"911665*"	"2"		""	"L12003"	
Xe	10	"11.4312"	"30"	""		"0"	"874794."	"4d9"	"2D"	"5/2"	"4d8.4f"	"874794*"	"3/2"		""	"L11883"	
Xe	11	"11.4713"	"37"	""		"40835."	"912600"	"4p6.4d8"	"1G"	"4"	"4p6.4d7.4f"	"912600*"	"3"		""	"L12003"	
Xe	25	"11.480"	"100bl"	""		"371982"	"1242108"	"4s.4p"	"3P*"	"0"	"4s.4d"	"3D"	"1"		""	"L11896"	
Xe	10	"11.4880"	"80*"	""		"16725."	"887203."	"4d9"	"2D"	"3/2"	"4d8.4f"	"887203*"	"5/2"		""	"L11883"	
Xe	10	"11.4880"	"80*"	""		"0"	"870470."	"4d9"	"2D"	"5/2"	"4d8.4f"	"870470*"	"7/2"		""	"L11883"	
Xe	10	"11.5632"	"30"	""		"16725."	"881539."	"4d9"	"2D"	"3/2"	"4d8.4f"	"881539*"	"3/2"		""	"L11883"	
Xe	10	"11.5661"	"60"	""		"0"	"864592."	"4d9"	"2D"	"5/2"	"4d8.4f"	"864592*"	"5/2"		""	"L11883"	
Xe	11	"11.6342"	"60"	""		"88130."	"947660"	"4p6.4d8"	"1S"	"0"	"4p6.4d7.4f"	"947660*"	"1"		""	"L12003"	
Xe	10	"11.6541"	"12"	""		"16725."	"874794."	"4d9"	"2D"	"3/2"	"4d8.4f"	"874794*"	"3/2"		""	"L11883"	
Xe	25	"11.670"	"10"	""		"396091"	"1251620"	"4s.4p"	"3P*"	"1"	"4s.4d"	"3D"	"2"		""	"L11896"	
Xe	7	"11.825"	"30a"	""		"0"	"845750"	"5s2"	"1S"	"0"	"4d9.5s2.6p"	"1P*"	"1"		""	"L5852"	
Xe	26	"11.8935"	"50"	""		"427411."	"1268220"	"3d10.4p"	"2P*"	"1/2"	"3d10.4d"	"2D"	"3/2"		""	"L10107"	
Xe	11	"11.9291"	"20"	""		"0"	"838289"	"4p6.4d8"	"3F"	"4"	"4p6.4d7.5p"	"838289*"	"3"		""	"L12003"	
Xe	7	"11.975"	"10a"	""		"0"	"835110"	"5s2"	"1S"	"0"	"4d9.5s2.6p"	"3P*"	"1"		""	"L5852"	
Xe	9	"12.0133"	"200"	""		"0"	"832414."	"4d10"	"1S"	"0"	"4d9.4f"	"1P*"	"1"		""	"L9885"	
Xe	11	"12.2902"	"41"	""		"15205."	"828875"	"4p6.4d8"	"3F"	"3"	"4p6.4d7.5p"	"828875*"	"2"		""	"L12003"	
Xe	7	"12.3242"	"30"	""		"0"	"811412."	"5s2"	"1S"	"0"	"4d9.5s2.4f"	"1P*"	"1"		""	"L11882"	
Xe	8	"12.3243"	"20"	""		"0"	"811400"	"5s"	"2S"	"1/2"	"4d9.5s.(3D).4f"	"2P*"	"3/2"		""	"L11883"	
Xe	8	"12.3265"	"15"	""		"0"	"811260"	"5s"	"2S"	"1/2"	"4d9.5s.(3D).4f"	"2P*"	"1/2"		""	"L11883"	
Xe	44	"12.392"	""	""		"0"	"806985"	"3s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"		""	"L10465"	
Xe	11	"12.6360"	"11"	""		"0"	"791395"	"4p6.4d8"	"3F"	"4"	"4p6.4d7.4f"	"791395*"	"3"		""	"L12003"	
Xe	11	"12.7006"	"6"	""		"42900."	"830260"	"4p6.4d8"	"1D"	"2"	"4p6.4d7.5p"	"830260*"	"1"		""	"L12003"	
Xe	11	"12.7227"	"12"	""		"42900."	"828875"	"4p6.4d8"	"1D"	"2"	"4p6.4d7.5p"	"828875*"	"2"		""	"L12003"	
Xe	11	"12.7610"	"26"	""		"40835."	"824474"	"4p6.4d8"	"1G"	"4"	"4p6.4d7.5p"	"824474*"	"3"		""	"L12003"	
Xe	11	"12.7967"	"9"	""		"26670."	"808130"	"4p6.4d8"	"3P"	"2"	"4p6.4d7.5p"	"808130*"	"1"		""	"L12003"	
