element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Kr	28	"0.51934"	"0.2*"	""		"0"	"19255000"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).4d"	"(2,5/2)"	"1/2"		""	"L7259"	
Kr	28	"0.51934"	"0.2*"	""		"446440"	"19702000"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P<1>).4d"	"(1,5/2)"	"3/2"		""	"L7259"	
Kr	27	"0.52790"	"40"	""		"0"	"18943000"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).4d"	"(1/2,3/2)*"	"1"		""	"L7279"	
Kr	28	"0.53036"	"0.16"	""		"0"	"18855000"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).4s"	"(2,1/2)"	"3/2"		""	"L7259"	
Kr	26	"0.53217"	"0.29"	""		"[454413]"	"19245000"	"2p6.3p"	"2P*"	"1/2"	"2p5.(2P*<1/2>).3p.4d"	"(0,3/2)"	"3/2"		""	"L7259"	
Kr	26	"0.53500"	"0.27"	""		"[1164184]"	"19856000"	"2p6.3d"	"2D"	"3/2"	"2p5.(2P*<1/2>).3d.4d"	"(1,3/2)*"	"3/2"		""	"L7259"	
Kr	26	"0.53567"	"*"	""		"0"	"18668200"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3s.4d"	"(1,3/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.53567"	"*"	""		"0"	"18668200"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3s.4d"	"(1,3/2)*"	"1/2"		""	"L9749"	
Kr	26	"0.53581"	"0.55"	""		"[558678]"	"19222000"	"2p6.3p"	"2P*"	"3/2"	"2p5.(2P*<1/2>).3p.4d"	"(0,5/2)"	"5/2"		""	"L7259"	
Kr	26	"0.53612"	""	""		"[558678]"	"19211200"	"2p6.3p"	"2P*"	"3/2"	"2p5.(2P*<1/2>).3p.4d"	"(1,3/2)"	"5/2"		""	"L9749"	
Kr	26	"0.53689"	""	""		"[454413]"	"19080200"	"2p6.3p"	"2P*"	"1/2"	"2p5.(2P*<1/2>).3p.4d"	"(1,3/2)"	"3/2"		""	"L9749"	
Kr	26	"0.53805"	"0.72"	""		"[1183991]"	"19770000"	"2p6.3d"	"2D"	"5/2"	"2p5.(2P*<1/2>).3d.4d"	"(2,3/2)*"	"5/2"		""	"L7259"	
Kr	27	"0.54005"	"50"	""		"0"	"18516800"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4d"	"(3/2,5/2)*"	"1"		""	"L7279"	
Kr	27	"0.54121"	"25"	""		"0"	"18477100"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).4s"	"(1/2,1/2)*"	"1"		""	"L7279"	
Kr	27	"0.54204"	"5"	""		"0"	"18449000"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4d"	"(3/2,3/2)*"	"1"		""	"L7279"	
Kr	25	"0.54366"	""	""		"0"	"18393800"	"2p6.3s2"	"1S"	"0"	"2p5.3s2.4d"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	26	"0.54546"	"0.31"	""		"[558678]"	"18892000"	"2p6.3p"	"2P*"	"3/2"	"2p5.(2P*<3/2>).3p.4d"	"(0,5/2)"	"5/2"		""	"L7259"	
Kr	26	"0.54752"	"0.28"	""		"[1183991]"	"19448000"	"2p6.3d"	"2D"	"5/2"	"2p5.(2P*<3/2>).3d.4d"	"(1,5/2)*"	"5/2"		""	"L7259"	
Kr	26	"0.54777"	""	""		"0"	"18255800"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.4d"	"(1,5/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.54823"	""	""		"0"	"18240500"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.4d"	"(2,5/2)*"	"1/2"		""	"L9749"	
Kr	26	"0.54865"	"0.67"	""		"[558678]"	"18785000"	"2p6.3p"	"2P*"	"3/2"	"2p5.(2P*<3/2>).3p.4d"	"(2,5/2)"	"5/2"		""	"L7259"	
Kr	26	"0.54870"	""	""		"[454413]"	"18679300"	"2p6.3p"	"2P*"	"1/2"	"2p5.(2P*<3/2>).3p.4d"	"(2,5/2)"	"3/2"		""	"L9749"	
Kr	26	"0.55025"	"0.96"	""		"[454413]"	"18628000"	"2p6.3p"	"2P*"	"1/2"	"2p5.(2P*<1/2>).3p.4s"	"(1,1/2)"	"3/2"		""	"L7259"	
Kr	26	"0.55176"	"0.33"	""		"[1183991]"	"19308000"	"2p6.3d"	"2D"	"5/2"	"2p5.(2P*<3/2>).3d.4d"	"(4,5/2)*"	"5/2"		""	"L7259"	
Kr	27	"0.55434"	"35"	""		"0"	"18039500"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4s"	"(3/2,1/2)*"	"1"		""	"L7279"	
Kr	25	"0.5573"	"*"	""		"1196586"	"19140000"	"2p6.3s.3d"	"3D"	"3"	"2p5.3s.3d.4d"	"*"	"4"		""	"L11955"	
Kr	25	"0.5573"	"*"	""		"1319428"	"19263000"	"2p6.3s.3d"	"1D"	"2"	"2p5.3s.3d.4d"	"*"	"3"		""	"L11955"	
Kr	28	"0.59607"	"*"	""		"0"	"16776600"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<1/2>).3p"	"(1,3/2)"	"5/2"		""	"L9749"	
Kr	28	"0.6129"	""	""		"0"	"16316000"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(1,3/2)"	"3/2"		""	"L4863"	
Kr	28	"0.61436"	""	""		"0"	"16277100"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(1,3/2)"	"5/2"		""	"L9749"	
Kr	28	"0.6145"	""	""		"1901350"	"18175000"	"2s.2p6"	"2S"	"1/2"	"2p6.3p"	"2P*"	"3/2"		""	"L4863"	
Kr	28	"0.6166"	""	""		"0"	"16218000"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(1,1/2)"	"3/2"		""	"L4863"	
Kr	28	"0.6171"	"*"	""		"446440"	"16651000"	"2s2.2p5"	"2P*"	"1/2"	"2s.2p5.(2P<1/2>).3p"	"(1,1/2)"	"3/2"		""	"L4863"	
Kr	28	"0.6171"	"*"	""		"0"	"16205000"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(2,3/2)"	"1/2"		""	"L4863"	
Kr	28	"0.6185"	""	""		"1901350"	"18069000"	"2s.2p6"	"2S"	"1/2"	"2p6.3p"	"2P*"	"1/2"		""	"L4863"	
Kr	28	"0.62061"	""	""		"0"	"16113200"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(2,3/2)"	"5/2"		""	"L9749"	
Kr	28	"0.62166"	""	""		"0"	"16086000"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(2,3/2)"	"3/2"		""	"L9749"	
Kr	28	"0.62594"	""	""		"0"	"15976000"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p5.(2P<3/2>).3p"	"(2,1/2)"	"5/2"		""	"L9749"	
