element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ne	2	"1964.3580"	"15"	""		"312573.7745"	"317663.1046"	"2s2.2p4.(3P).5d"	"2D"	"3/2"	"2s2.2p4.(1D).4p"	"2P*"	"3/2"		""	"L11301"	
Ne	2	"1966.5314"	"39"	""		"307420.8248"	"312504.5327"	"2s2.2p4.(3P).5p"	"2D*"	"5/2"	"2s2.2p4.(3P).5d"	"2D"	"5/2"		""	"L11301"	
Ne	2	"1973.7683"	"28"	""		"303071.8002"	"308136.8685"	"2s2.2p4.(3P).4d"	"4P"	"5/2"	"2s2.2p4.(3P).5p"	"4S*"	"3/2"		""	"L11301"	
Ne	2	"1974.9969"	"118"	""		"302961.0417"	"308022.9587"	"2s2.2p4.(3P).4d"	"4F"	"3/2"	"2s2.2p4.(3P).5p"	"4D*"	"1/2"		""	"L11301"	
Ne	1	"1977.2462"	"32"	"2.05e+04"	C+	"158601.1152"	"163657.2726"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"		"T6976"	"L9097"	
Ne	2	"1977.484"	"7"	""		"302839.2693"	"307894.8198"	"2s2.2p4.(3P).4d"	"4F"	"5/2"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"		""	"L11301"	
Ne	2	"1980.1437"	"28"	""		"303928.0756"	"308976.8347"	"2s2.2p4.(3P).5s"	"4P"	"1/2"	"2s2.2p4.(3P).5p"	"2P*"	"1/2"		""	"L11301"	
Ne	2	"1980.52417"	"246"	""		"302192.9098"	"307240.7001"	"2s2.2p4.(3P).4d"	"4F"	"9/2"	"2s2.2p4.(3P).5p"	"4D*"	"7/2"		""	"L11301"	
Ne	2	"1982.1620"	"63"	""		"301855.6707"	"306899.2903"	"2s2.2p4.(3P).4d"	"4D"	"5/2"	"2s2.2p4.(3P).5p"	"4P*"	"5/2"		""	"L11301"	
Ne	2	"1982.7680"	"24"	""		"308976.8347"	"314018.9129"	"2s2.2p4.(3P).5p"	"2P*"	"1/2"	"2s2.2p4.(3P).6s"	"2P"	"1/2"		""	"L11301"	
Ne	1	"1987.7309"	"5"	"9.34e+03"	C+	"162419.9818"	"167449.4698"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).5p"	"2[1/2]"	"1"		"T6976"	"L9097"	
Ne	2	"1991.55467"	"219"	""		"307420.8248"	"312440.6573"	"2s2.2p4.(3P).5p"	"2D*"	"5/2"	"2s2.2p4.(3P).5d"	"2F"	"7/2"		""	"L11301"	
Ne	2	"1992.5391"	"23"	""		"307240.7001"	"312258.0516"	"2s2.2p4.(3P).5p"	"4D*"	"7/2"	"2s2.2p4.(3P).5d"	"4D"	"5/2"		""	"L11301"	
Ne	2	"1993.0056"	"13"	""		"307309.4584"	"312325.6366"	"2s2.2p4.(3P).5p"	"4P*"	"1/2"	"2s2.2p4.(3P).5d"	"4D"	"3/2"		""	"L11301"	
Ne	2	"1993.4859"	"25"	""		"308006.8460"	"313021.8155"	"2s2.2p4.(3P).5p"	"2S*"	"1/2"	"2s2.2p4.(3P).5d"	"4P"	"3/2"		""	"L11301"	
Ne	2	"1994.4456"	"29"	""		"302057.2516"	"307069.8080"	"2s2.2p4.(3P).4d"	"4D"	"1/2"	"2s2.2p4.(3P).5p"	"4P*"	"3/2"		""	"L11301"	
Ne	2	"1996.003"	"7"	""		"307894.8198"	"312903.4650"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"	"2s2.2p4.(3P).6s"	"4P"	"5/2"		""	"L11301"	
Ne	2	"1997.7427"	"76"	""		"302890.5369"	"307894.8198"	"2s2.2p4.(3P).4d"	"2F"	"5/2"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"		""	"L11301"	
Ne	2	"1998.2429"	"24"	""		"308177.1843"	"313180.2149"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"	"2s2.2p4.(3P).6s"	"2P"	"3/2"		""	"L11301"	
Ne	2	"1998.42657"	"170"	""		"303974.2630"	"308976.8347"	"2s2.2p4.(3P).5s"	"2P"	"3/2"	"2s2.2p4.(3P).5p"	"2P*"	"1/2"		""	"L11301"	
Ne	2	"1998.7924"	"22"	""		"308136.8685"	"313138.5238"	"2s2.2p4.(3P).5p"	"4S*"	"3/2"	"2s2.2p4.(3P).5d"	"4P"	"5/2"		""	"L11301"	
element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ne	2	"2000.2577"	"12"	""		"308006.8460"	"313006.2024"	"2s2.2p4.(3P).5p"	"2S*"	"1/2"	"2s2.2p4.(3P).5d"	"2P"	"1/2"		""	"L11301"	
Ne	2	"2002.828"	"8"	""		"302247.7634"	"307240.7001"	"2s2.2p4.(3P).4d"	"2F"	"7/2"	"2s2.2p4.(3P).5p"	"4D*"	"7/2"		""	"L11301"	
Ne	2	"2006.7252"	"23"	""		"308022.9587"	"313006.2024"	"2s2.2p4.(3P).5p"	"4D*"	"1/2"	"2s2.2p4.(3P).5d"	"2P"	"1/2"		""	"L11301"	
Ne	2	"2006.8978"	"72"	""		"307240.7001"	"312223.5155"	"2s2.2p4.(3P).5p"	"4D*"	"7/2"	"2s2.2p4.(3P).5d"	"4D"	"7/2"		""	"L11301"	
Ne	1	"2014.0224"	"1"	""		"162830.7073"	"167795.8966"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"		""	"L11262"	
Ne	2	"2015.5848"	"56"	""		"308177.1843"	"313138.5238"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"	"2s2.2p4.(3P).5d"	"4P"	"5/2"		""	"L11301"	
Ne	2	"2017.0543"	"24"	""		"302816.9602"	"307774.6858"	"2s2.2p4.(3P).4d"	"4P"	"3/2"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"		""	"L11301"	
Ne	2	"2019.6668"	"15"	""		"301947.9789"	"306899.2903"	"2s2.2p4.(3P).4d"	"4D"	"3/2"	"2s2.2p4.(3P).5p"	"4P*"	"5/2"		""	"L11301"	
Ne	2	"2024.5825"	"26"	""		"303237.8943"	"308177.1843"	"2s2.2p4.(3P).4d"	"2P"	"3/2"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"		""	"L11301"	
Ne	2	"2026.17132"	"166"	""		"302839.2693"	"307774.6858"	"2s2.2p4.(3P).4d"	"4F"	"5/2"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"		""	"L11301"	
Ne	2	"2034.9476"	"17"	""		"308738.0108"	"313652.1424"	"2s2.2p4.(3P).5p"	"2P*"	"3/2"	"2s2.2p4.(3P).6s"	"4P"	"3/2"		""	"L11301"	
Ne	1	"2035.5771"	"630"	"2.63e+05"	C+	"158795.9924"	"163708.6029"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"		"T6976"	"L9097"	
