element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ar	2	"3680.72"	"3"	""		"204977.6464"	"207694.4965"	"3s2.3p4.(3P<2>).5f"	"2[3]*"	"5/2"	"3s2.3p4.(3P).6d"	"4D"	"7/2"		""	"L11520"	
Ar	2	"3702.8296"	"40"	""		"207746.4757"	"210447.1140"	"3s2.3p4.(3P).6d"	"4D"	"5/2"	"3s2.3p4.(3P<2>).6f"	"2[4]*"	"7/2"		""	"L11520"	
Ar	2	"3703.2012"	"28bl"	""		"186340.5616"	"189040.9351"	"3s2.3p4.(3P).4d"	"4F"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"3711.7380"	"25"	""		"209377.2099"	"212071.3657"	"3s2.3p4.(3P).6d"	"2F"	"5/2"	"3s2.3p4.(3P<0>).6f"	"2[3]*"	"7/2"		""	"L11520"	
Ar	2	"3792.7123"	"16"	""		"206631.7185"	"209268.3541"	"3s2.3p4.(3P<0>).5f"	"2[3]*"	"5/2"	"3s2.3p4.(3P).6d"	"4F"	"3/2"		""	"L11520"	
Ar	2	"3814.9071"	"26"	""		"200880.5857"	"203501.8810"	"3s2.3p4.(3P).5d"	"4F"	"7/2"	"3s2.3p4.(3P).6p"	"2D*"	"5/2"		""	"L11520"	
Ar	2	"3837.644"	"4bl"	""		"190106.3000"	"192712.058"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	"3s2.3p4.(3P).4d"	"2D"	"3/2"		""	"L9974"	
Ar	2	"3844.1282"	"13"	""		"200406.4358"	"203007.8061"	"3s2.3p4.(3P).5d"	"4D"	"1/2"	"3s2.3p4.(1D).5p"	"2P*"	"3/2"		""	"L11520"	
Ar	2	"3879.1979"	"55"	""		"209015.7090"	"211593.5615"	"3s2.3p4.(3P).6d"	"2F"	"7/2"	"3s2.3p4.(3P<1>).6f"	"2[4]*"	"9/2"		""	"L11520"	
Ar	2	"3883.861"	"10bl"	""		"206120.3769"	"208695.1309"	"3s2.3p4.(3P<1>).5f"	"2[2]*"	"5/2"	"3s2.3p4.(3P).6d"	"4P"	"3/2"		""	"L11520"	
Ar	2	"3885.2891"	"30"	""		"199679.8440"	"202253.6552"	"3s2.3p4.(1D).4d"	"2D"	"5/2"	"3s2.3p4.(3P).6p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"3890.181"	"5"	""		"186470.3603"	"189040.9351"	"3s2.3p4.(3P).4d"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"3900.1825"	"12"	""		"201030.3698"	"203594.3546"	"3s2.3p4.(3P).5d"	"4P"	"1/2"	"3s2.3p4.(1D).5p"	"2P*"	"1/2"		""	"L11520"	
Ar	2	"3920.7748"	"39"	""		"199879.3828"	"202429.8993"	"3s2.3p4.(3P).5d"	"4D"	"7/2"	"3s2.3p4.(3P).6p"	"4D*"	"7/2"		""	"L11520"	
Ar	2	"3960.1415"	"17"	""		"201608.9017"	"204134.0653"	"3s2.3p4.(3P).5d"	"2F"	"7/2"	"3s2.3p4.(1D).5p"	"2D*"	"5/2"		""	"L11520"	
Ar	2	"3961.3899"	"16"	""		"206149.0242"	"208673.3904"	"3s2.3p4.(3P<1>).5f"	"2[4]*"	"7/2"	"3s2.3p4.(3P).6d"	"4F"	"5/2"		""	"L11520"	
Ar	2	"3973.0439"	"26"	""		"187589.3383"	"190106.3000"	"3s2.3p4.(3P).4d"	"2F"	"5/2"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"		""	"L11520"	
Ar	2	"3974.7828"	"65bl"	""		"190196.2066"	"192712.058"	"3s2.3p4.(3P).5p"	"2P*"	"1/2"	"3s2.3p4.(3P).4d"	"2D"	"3/2"		""	"L9974"	
